,Kernel,C,Gamma,Degree,Confusion Matrix Split 51,Confusion Matrix Split 52,Confusion Matrix Split 53,Confusion Matrix Split 54,Confusion Matrix Split 55,Confusion Matrix Split 56,Confusion Matrix Split 57,Confusion Matrix Split 58,Confusion Matrix Split 59,Confusion Matrix Split 60
12,poly,1.0,10.0,2.0,"[3, 2, 3, 2]","[3, 2, 3, 2]","[2, 3, 1, 4]","[4, 1, 1, 4]","[2, 3, 2, 3]","[5, 0, 3, 2]","[5, 0, 2, 2]","[3, 2, 2, 2]","[3, 1, 2, 3]","[2, 2, 1, 4]"
13,poly,1.0,10.0,3.0,"[4, 1, 3, 2]","[1, 4, 3, 2]","[2, 3, 2, 3]","[3, 2, 2, 3]","[3, 2, 2, 3]","[5, 0, 4, 1]","[4, 1, 2, 2]","[4, 1, 3, 1]","[3, 1, 3, 2]","[2, 2, 1, 4]"
14,linear,10.0,,,"[4, 1, 1, 4]","[5, 0, 2, 3]","[3, 2, 2, 3]","[1, 4, 0, 5]","[2, 3, 2, 3]","[5, 0, 3, 2]","[3, 2, 3, 1]","[4, 1, 2, 2]","[4, 0, 3, 2]","[3, 1, 3, 2]"
15,rbf,10.0,1.0,,"[5, 0, 5, 0]","[5, 0, 5, 0]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
16,poly,10.0,1.0,2.0,"[3, 2, 3, 2]","[3, 2, 3, 2]","[2, 3, 1, 4]","[4, 1, 1, 4]","[2, 3, 2, 3]","[5, 0, 3, 2]","[5, 0, 2, 2]","[3, 2, 2, 2]","[3, 1, 2, 3]","[2, 2, 1, 4]"
17,poly,10.0,1.0,3.0,"[4, 1, 3, 2]","[1, 4, 3, 2]","[2, 3, 2, 3]","[3, 2, 2, 3]","[3, 2, 2, 3]","[5, 0, 4, 1]","[4, 1, 2, 2]","[4, 1, 3, 1]","[3, 1, 3, 2]","[2, 2, 1, 4]"
18,rbf,10.0,10.0,,"[5, 0, 5, 0]","[5, 0, 5, 0]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
19,poly,10.0,10.0,2.0,"[3, 2, 3, 2]","[3, 2, 3, 2]","[2, 3, 1, 4]","[4, 1, 1, 4]","[2, 3, 2, 3]","[5, 0, 3, 2]","[5, 0, 2, 2]","[3, 2, 2, 2]","[3, 1, 2, 3]","[2, 2, 1, 4]"
20,poly,10.0,10.0,3.0,"[4, 1, 3, 2]","[1, 4, 3, 2]","[2, 3, 2, 3]","[3, 2, 2, 3]","[3, 2, 2, 3]","[5, 0, 4, 1]","[4, 1, 2, 2]","[4, 1, 3, 1]","[3, 1, 3, 2]","[2, 2, 1, 4]"
21,linear,100.0,,,"[4, 1, 1, 4]","[5, 0, 2, 3]","[3, 2, 2, 3]","[1, 4, 0, 5]","[2, 3, 2, 3]","[5, 0, 3, 2]","[3, 2, 3, 1]","[4, 1, 2, 2]","[4, 0, 3, 2]","[3, 1, 3, 2]"
22,rbf,100.0,1.0,,"[5, 0, 5, 0]","[5, 0, 5, 0]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
23,poly,100.0,1.0,2.0,"[3, 2, 3, 2]","[3, 2, 3, 2]","[2, 3, 1, 4]","[4, 1, 1, 4]","[2, 3, 2, 3]","[5, 0, 3, 2]","[5, 0, 2, 2]","[3, 2, 2, 2]","[3, 1, 2, 3]","[2, 2, 1, 4]"
24,poly,100.0,1.0,3.0,"[4, 1, 3, 2]","[1, 4, 3, 2]","[2, 3, 2, 3]","[3, 2, 2, 3]","[3, 2, 2, 3]","[5, 0, 4, 1]","[4, 1, 2, 2]","[4, 1, 3, 1]","[3, 1, 3, 2]","[2, 2, 1, 4]"
25,rbf,100.0,10.0,,"[5, 0, 5, 0]","[5, 0, 5, 0]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
26,poly,100.0,10.0,2.0,"[3, 2, 3, 2]","[3, 2, 3, 2]","[2, 3, 1, 4]","[4, 1, 1, 4]","[2, 3, 2, 3]","[5, 0, 3, 2]","[5, 0, 2, 2]","[3, 2, 2, 2]","[3, 1, 2, 3]","[2, 2, 1, 4]"
27,poly,100.0,10.0,3.0,"[4, 1, 3, 2]","[1, 4, 3, 2]","[2, 3, 2, 3]","[3, 2, 2, 3]","[3, 2, 2, 3]","[5, 0, 4, 1]","[4, 1, 2, 2]","[4, 1, 3, 1]","[3, 1, 3, 2]","[2, 2, 1, 4]"
28,linear,1000.0,,,"[4, 1, 1, 4]","[5, 0, 2, 3]","[3, 2, 2, 3]","[1, 4, 0, 5]","[2, 3, 2, 3]","[5, 0, 3, 2]","[3, 2, 3, 1]","[4, 1, 2, 2]","[4, 0, 3, 2]","[3, 1, 3, 2]"
29,rbf,1000.0,1.0,,"[5, 0, 5, 0]","[5, 0, 5, 0]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
30,poly,1000.0,1.0,2.0,"[3, 2, 3, 2]","[3, 2, 3, 2]","[2, 3, 1, 4]","[4, 1, 1, 4]","[2, 3, 2, 3]","[5, 0, 3, 2]","[5, 0, 2, 2]","[3, 2, 2, 2]","[3, 1, 2, 3]","[2, 2, 1, 4]"
31,poly,1000.0,1.0,3.0,"[4, 1, 3, 2]","[1, 4, 3, 2]","[2, 3, 2, 3]","[3, 2, 2, 3]","[3, 2, 2, 3]","[5, 0, 4, 1]","[4, 1, 2, 2]","[4, 1, 3, 1]","[3, 1, 3, 2]","[2, 2, 1, 4]"
32,rbf,1000.0,10.0,,"[5, 0, 5, 0]","[5, 0, 5, 0]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 5]","[0, 5, 0, 4]","[0, 5, 0, 4]","[4, 0, 5, 0]","[4, 0, 5, 0]"
33,poly,1000.0,10.0,2.0,"[3, 2, 3, 2]","[3, 2, 3, 2]","[2, 3, 1, 4]","[4, 1, 1, 4]","[2, 3, 2, 3]","[5, 0, 3, 2]","[5, 0, 2, 2]","[3, 2, 2, 2]","[3, 1, 2, 3]","[2, 2, 1, 4]"
34,poly,1000.0,10.0,3.0,"[4, 1, 3, 2]","[1, 4, 3, 2]","[2, 3, 2, 3]","[3, 2, 2, 3]","[3, 2, 2, 3]","[5, 0, 4, 1]","[4, 1, 2, 2]","[4, 1, 3, 1]","[3, 1, 3, 2]","[2, 2, 1, 4]"
